progress,loss,accuracy
7.28,1.0436,0.59
7.29,1.0738,0.6
7.29,1.1392,0.58
7.3,1.4868,0.56
7.31,1.5622,0.58
7.32,1.5968,0.55
7.33,1.6657,0.56
7.34,1.6657,0.56
7.35,1.4681,0.58
7.36,1.387,0.57
7.37,1.1242,0.58
7.38,0.7669,0.56
7.39,1.044,0.53
7.4,1.0312,0.58
7.41,1.0312,0.59
7.42,0.976,0.55
7.42,0.6324,0.56
7.43,0.8329,0.56
7.44,0.8329,0.58
7.45,0.861,0.6
7.46,0.9673,0.56
7.47,0.9078,0.56
7.48,1.2933,0.58
7.49,1.0904,0.56
7.5,0.9673,0.57
7.51,1.1617,0.55
7.52,1.1617,0.54
7.53,1.172,0.58
7.54,1.1938,0.57
7.54,1.0762,0.54
7.55,1.0122,0.55
7.56,0.9726,0.55
7.57,1.0241,0.57
7.58,1.143,0.56
7.59,1.3743,0.62
7.6,1.3965,0.58
7.61,1.3965,0.56
7.62,1.4252,0.56
7.63,1.2265,0.54
7.64,1.6178,0.57
7.65,1.0849,0.54
7.66,1.2069,0.54
7.67,0.9208,0.6
7.67,1.0849,0.57
7.68,1.1514,0.57
7.69,1.3725,0.56
7.7,1.3725,0.55
7.71,1.3863,0.58
7.72,1.1774,0.57
7.73,1.3088,0.55
7.74,1.154,0.56
7.75,1.1309,0.56
7.76,1.3042,0.6
7.77,1.1761,0.55
7.78,1.144,0.57
7.79,1.0071,0.58
7.79,0.9779,0.59
7.8,0.9779,0.56
7.81,1.0131,0.57
7.82,0.8338,0.54
7.83,1.0131,0.58
7.84,0.7655,0.61
7.85,0.7572,0.59
7.86,0.7572,0.55
7.87,1.3204,0.58
7.88,1.2788,0.58
7.89,1.2788,0.58
7.9,1.2221,0.57
7.91,1.1972,0.56
7.92,1.1972,0.58
7.92,1.1972,0.59
7.93,1.3785,0.56
7.94,1.0717,0.59
7.95,1.1339,0.6
7.96,1.1339,0.6
7.97,1.3754,0.55
7.98,1.37,0.54
7.99,1.2932,0.55
8.0,1.2302,0.58
8.01,1.1486,0.57
8.02,1.1517,0.54
8.03,1.2165,0.55
8.04,1.2219,0.57
8.04,1.2219,0.58
8.05,1.0301,0.6
8.06,1.1851,0.56
8.07,1.4103,0.58
8.08,1.3399,0.6
8.09,1.4103,0.55
8.1,1.0649,0.59
8.11,1.1374,0.59
8.12,0.9652,0.63
8.13,0.7598,0.57
8.14,0.7598,0.58
8.15,1.0425,0.58
8.16,1.3652,0.55
8.17,1.3652,0.61
8.17,1.5071,0.58
8.18,1.7158,0.58
8.19,1.7158,0.59
8.2,1.666,0.57
8.21,1.4362,0.56
8.22,1.0272,0.6
8.23,1.0272,0.59
8.24,1.0272,0.55
8.25,1.0411,0.54
8.26,0.9469,0.57
8.27,0.9254,0.58
8.28,0.9254,0.56
8.29,0.9254,0.58
8.29,0.9306,0.6
8.3,0.9924,0.58
8.31,1.0019,0.58
8.32,0.9924,0.57
8.33,1.0019,0.6
8.34,0.9774,0.56
8.35,1.2417,0.57
8.36,1.2417,0.56
8.37,1.0724,0.6
8.38,1.0724,0.58
8.39,1.2185,0.58
8.4,1.2185,0.6
8.41,1.2315,0.57
8.42,0.915,0.62
8.42,1.1222,0.61
8.43,1.1222,0.62
8.44,1.1747,0.61
8.45,1.2156,0.58
8.46,1.146,0.57
8.47,1.0418,0.59
8.48,0.8978,0.58
8.49,0.8978,0.57
8.5,0.9447,0.55
8.51,0.9134,0.56
8.52,0.9134,0.58
8.53,0.8294,0.56
8.54,0.9134,0.57
8.54,1.2186,0.56
8.55,1.1969,0.59
8.56,1.1451,0.56
8.57,1.1451,0.6
8.58,0.8552,0.6
8.59,0.8552,0.59
8.6,0.8552,0.58
8.61,0.9323,0.62
8.62,1.2779,0.58
8.63,1.2327,0.6
8.64,1.1379,0.55
8.65,1.1305,0.59
8.66,1.0253,0.54
8.67,1.1074,0.58
8.67,1.0707,0.57
8.68,0.9489,0.58
8.69,0.7112,0.58
8.7,0.7112,0.6
8.71,1.0358,0.55
8.72,1.1589,0.53
8.73,1.1043,0.6
8.74,1.2471,0.6
8.75,1.389,0.57
8.76,1.389,0.57
8.77,1.389,0.59
8.78,0.942,0.6
8.79,0.8932,0.56
8.79,0.8932,0.58
8.8,0.747,0.58
8.81,0.8423,0.58
8.82,0.9208,0.59
8.83,1.0796,0.6
8.84,1.0796,0.6
8.85,1.2314,0.54
8.86,0.9364,0.59
8.87,0.8036,0.6
8.88,0.7579,0.58
8.89,0.8107,0.56
8.9,0.8107,0.58
8.91,1.2143,0.58
8.92,1.1358,0.58
8.92,1.0933,0.61
8.93,0.9297,0.6
8.94,0.9956,0.59
8.95,0.9956,0.57
8.96,0.9297,0.54
8.97,1.073,0.59
8.98,1.073,0.55
8.99,1.2216,0.56
9.0,1.249,0.62
9.01,1.2429,0.58
9.02,0.9668,0.57
9.03,0.9791,0.59
9.04,0.9101,0.58
9.04,0.8878,0.6
9.05,0.8074,0.59
9.06,0.8477,0.57
9.07,0.6862,0.6
9.08,1.045,0.58
9.09,1.0725,0.57
9.1,1.1926,0.54
9.11,1.1285,0.55
9.12,1.2681,0.56
9.13,1.2094,0.56
9.14,1.1451,0.58
9.15,1.2715,0.58
9.16,1.2715,0.56
9.17,0.9054,0.56
9.17,0.892,0.58
9.18,1.0026,0.59
9.19,1.1008,0.57
9.2,1.3214,0.6
9.21,1.372,0.61
9.22,1.4389,0.6
9.23,1.372,0.53
9.24,1.3054,0.59
9.25,0.9578,0.57
9.26,0.8979,0.56
9.27,0.8979,0.58
9.28,0.9514,0.58
9.29,0.8837,0.59
9.29,0.8784,0.59
9.3,0.8784,0.6
9.31,0.8784,0.54
9.32,1.0245,0.6
9.33,0.9298,0.56
9.34,0.9298,0.56
9.35,1.013,0.58
9.36,1.09,0.6
9.37,1.1105,0.6
9.38,1.1105,0.59
9.39,0.8905,0.57
9.4,0.8978,0.58
9.41,1.0216,0.58
9.42,1.0216,0.55
9.42,1.1622,0.58
9.43,1.3648,0.57
9.44,1.1622,0.58
9.45,1.1489,0.58
9.46,0.9857,0.62
9.47,0.9515,0.6
9.48,0.9515,0.58
9.49,0.9055,0.59
9.5,1.0415,0.6
9.51,1.0835,0.61
9.52,1.0835,0.55
9.53,1.0231,0.57
9.54,0.9629,0.62
9.54,0.7986,0.58
9.55,0.7986,0.59
9.56,0.899,0.62
9.57,1.0708,0.58
9.58,1.3198,0.63
9.59,1.0926,0.59
9.6,1.3261,0.55
9.61,1.3261,0.54
9.62,1.4749,0.57
9.63,1.5734,0.61
9.64,1.5674,0.56
9.65,1.469,0.58
9.66,1.469,0.58
9.67,1.0582,0.59
9.67,1.036,0.58
