progress,loss,accuracy
5.2,0.0,0.92
5.21,0.0,0.97
5.22,0.0,0.94
5.23,0.0001,0.92
5.24,0.0001,0.93
5.25,0.0,0.96
5.26,0.0,0.94
5.27,0.0,0.92
5.28,0.0,0.92
5.29,0.0,0.93
5.29,0.0,0.94
5.3,0.0,0.94
5.31,0.0,0.96
5.32,0.0001,0.94
5.33,0.0002,0.93
5.34,0.0,0.92
5.35,0.0,0.94
5.36,0.0,0.94
5.37,0.0,0.93
5.38,0.0002,0.94
5.39,0.0004,0.94
5.4,0.0004,0.96
5.41,0.0008,0.96
5.42,0.0,0.96
5.42,0.0,0.94
5.43,0.0,0.93
5.44,0.0,0.94
5.45,0.0,0.93
5.46,0.0,0.94
5.47,0.0,0.96
5.48,0.0,0.96
5.49,0.0,0.96
5.5,0.0,0.96
5.51,0.0,0.96
5.52,0.0,0.97
5.53,0.0,0.94
5.54,0.0,0.97
5.54,0.0,0.97
5.55,0.0,0.94
5.56,0.0,0.94
5.57,0.0,0.96
5.58,0.0,0.96
5.59,0.0,0.97
5.6,0.0002,0.94
5.61,0.0,0.94
5.62,0.0002,0.97
5.63,0.0,0.96
5.64,0.0001,0.96
5.65,0.0001,0.92
5.66,0.0001,0.93
5.67,0.0,0.96
5.67,0.0006,0.96
5.68,0.0006,0.97
5.69,0.0001,0.96
5.7,0.0001,0.96
5.71,0.0001,0.96
5.72,0.0001,0.93
5.73,0.0001,0.96
5.74,0.0001,0.93
5.75,0.0,0.96
5.76,0.0,0.93
5.77,0.0,0.96
5.78,0.0,0.96
5.79,0.0,0.94
5.79,0.0,0.92
5.8,0.0,0.93
5.81,0.0001,0.93
5.82,0.0002,0.94
5.83,0.0,0.96
5.84,0.0,0.93
5.85,0.0,0.94
5.86,0.0,0.96
5.87,0.0,0.93
5.88,0.0,0.93
5.89,0.0,0.96
5.9,0.0,0.93
5.91,0.0001,0.93
5.92,0.0001,0.94
5.92,0.0,0.94
5.93,0.0,0.96
5.94,0.0,0.94
5.95,0.0,0.93
5.96,0.0,0.94
5.97,0.0,0.94
5.98,0.0,0.94
5.99,0.0,0.96
6.0,0.0,0.96
6.01,0.0001,0.94
6.02,0.0001,0.96
6.03,0.0001,0.93
6.04,0.0,0.93
6.04,0.0,0.94
6.05,0.0,0.96
6.06,0.0,0.93
6.07,0.0,0.96
6.08,0.0,0.94
6.09,0.0,0.93
6.1,0.0,0.94
6.11,0.0,0.94
6.12,0.0,0.93
6.13,0.0,0.94
6.14,0.0,0.94
6.15,0.0,0.96
6.16,0.0,0.94
6.17,0.0,0.93
6.17,0.0,0.97
6.18,0.0,0.96
6.19,0.0,0.94
6.2,0.0,0.94
6.21,0.0,0.94
6.22,0.0,0.94
6.23,0.0,0.94
6.24,0.0,0.92
6.25,0.0,0.93
6.26,0.0,0.96
6.27,0.0,0.94
6.28,0.0,0.94
6.29,0.0,0.94
6.29,0.0,0.93
6.3,0.0,0.93
6.31,0.0,0.93
6.32,0.0,0.94
6.33,0.0,0.94
6.34,0.0,0.93
6.35,0.0,0.96
6.36,0.0,0.93
6.37,0.0,0.92
6.38,0.0,0.93
6.39,0.0,0.94
6.4,0.0001,0.93
6.41,0.0,0.93
6.42,0.0,0.93
6.42,0.0,0.93
6.43,0.0,0.94
6.44,0.0,0.94
6.45,0.0,0.94
6.46,0.0,0.96
6.47,0.0,0.93
6.48,0.0,0.94
6.49,0.0,0.94
6.5,0.0,0.94
6.51,0.0,0.93
6.52,0.0,0.94
6.53,0.0,0.97
6.54,0.0,0.96
6.54,0.0,0.94
6.55,0.0,0.94
6.56,0.0,0.96
6.57,0.0,0.96
6.58,0.0,0.96
6.59,0.0,0.94
6.6,0.0,0.94
6.61,0.0,0.93
6.62,0.0,0.93
6.63,0.0,0.94
6.64,0.0,0.94
6.65,0.0,0.93
6.66,0.0,0.93
6.67,0.0,0.94
6.67,0.0001,0.94
6.68,0.0002,0.96
6.69,0.0002,0.93
6.7,0.0002,0.97
6.71,0.0001,0.93
6.72,0.0,0.93
6.73,0.0,0.94
6.74,0.0,0.93
6.75,0.0,0.94
6.76,0.0,0.92
6.77,0.0,0.93
6.78,0.0,0.93
6.79,0.0001,0.96
6.79,0.0002,0.96
6.8,0.0,0.94
6.81,0.0,0.93
6.82,0.0,0.94
6.83,0.0001,0.94
6.84,0.0,0.96
6.85,0.0001,0.97
6.86,0.0,0.96
6.87,0.0015,0.97
6.88,0.0003,0.94
6.89,0.0,0.92
6.9,0.0,0.94
6.91,0.0,0.94
6.92,0.0,0.94
6.92,0.0,0.94
6.93,0.0,0.94
6.94,0.0,0.96
6.95,0.0,0.94
6.96,0.0,0.94
6.97,0.0,0.94
6.98,0.0,0.94
6.99,0.0,0.94
7.0,0.0,0.94
7.01,0.0,0.92
7.02,0.0,0.97
7.03,0.0,0.92
7.04,0.0,0.96
7.04,0.0004,0.94
7.05,0.0,0.94
7.06,0.0,0.92
7.07,0.0,0.96
7.08,0.0,0.96
7.09,0.0,0.93
7.1,0.0,0.96
7.11,0.0,0.94
7.12,0.0,0.94
7.13,0.0,0.93
7.14,0.0,0.92
7.15,0.0,0.93
7.16,0.0,0.94
7.17,0.0,0.96
7.17,0.0,0.94
7.18,0.0,0.94
7.19,0.0,0.94
7.2,0.0,0.96
7.21,0.0,0.94
7.22,0.0,0.94
7.23,0.0,0.96
7.24,0.0,0.94
7.25,0.0,0.94
7.26,0.0,0.94
7.27,0.0,0.96
7.28,0.0,0.93
7.29,0.0,0.93
7.29,0.0004,0.94
7.3,0.0,0.96
7.31,0.0,0.96
7.32,0.0,0.93
7.33,0.0,0.94
7.34,0.0,0.93
7.35,0.0,0.92
7.36,0.0,0.96
7.37,0.0,0.94
7.38,0.0,0.93
7.39,0.0,0.94
7.4,0.0,0.94
7.41,0.0,0.96
7.42,0.0,0.96
7.42,0.0,0.93
7.43,0.0,0.94
7.44,0.0,0.94
7.45,0.0,0.94
7.46,0.0,0.96
7.47,0.0,0.96
7.48,0.0,0.93
7.49,0.0,0.96
7.5,0.0,0.94
7.51,0.0,0.96
7.52,0.0,0.97
7.53,0.0,0.93
7.54,0.0,0.96
7.54,0.0,0.94
7.55,0.0,0.94
7.56,0.0,0.96
7.57,0.0,0.94
7.58,0.0,0.94
7.59,0.0,0.94
7.6,0.0,0.96
7.61,0.0,0.96
7.62,0.0,0.93
7.63,0.0,0.94
7.64,0.0,0.96
7.65,0.0,0.97
7.66,0.0,0.97
7.67,0.0,0.96
7.67,0.0,0.94
7.68,0.0,0.96
7.69,0.0,0.94
7.7,0.0,0.93
7.71,0.0,0.96
7.72,0.0,0.94
7.73,0.0,0.93
7.74,0.0,0.94
7.75,0.0,0.94
7.76,0.0,0.93
7.77,0.0,0.94
7.78,0.0,0.93
7.79,0.0,0.93
7.79,0.0,0.93
7.8,0.0,0.94
7.81,0.0001,0.94
7.82,0.0,0.94
7.83,0.0,0.94
7.84,0.0,0.93
7.85,0.0,0.94
7.86,0.0,0.93
7.87,0.0,0.93
7.88,0.0,0.93
7.89,0.0,0.94
7.9,0.0,0.94
7.91,0.0,0.94
7.92,0.0,0.94
7.92,0.0,0.94
7.93,0.0,0.93
7.94,0.0,0.93
7.95,0.0,0.94
7.96,0.0,0.94
7.97,0.0,0.96
7.98,0.0,0.93
7.99,0.0,0.94
8.0,0.0001,0.96
